,comment,toxic
2750,"Пошевелиться не могла - классический сонный паралич. Прикольная тема, была у меня один раз. Вообще считается, что если спишь на спине, то шанс явления больше - по крайней мере об этом говорит существующая статистика . Но я спал на боку. Сам приход заключался в чётком ощущении того, что со стороны ног ко мне приближается нечто тёмное, с силуэтом высокого и широкого человека... лёгкая версия если сравнивать с иными рассказами, да и из оцепенения я полностью вырвался секунд за восемь. Но бодрит, бодрит...
",0.0
12744,"ну вот так. Не спрашивали. А ты лезешь везде со своим мнением. Которое интересно кому? Никому.
",1.0
1555,"И все таки я когда-нибудь посижу и срисую механизм....
",0.0
9043,"У них там в Америке каждый день солнце что ли? Просто у нас такое не возможно по определению, за три месяца зимы солнце видел раза четыре или пять.
",0.0
12900,"Можно с десяток причин высосать из пальца он несовершеннолетний, трасвестит, карлик,
",1.0
4484,"Видел мост, точнее от него один целый пролет оставался. А потом он обрушился. Это было в 99-м.
",0.0
6744,"А челик от NASA вот говорит, что НЕ МОГУТ: Для любителей отечественного есть Леонов, который всю жизнь отстаивал, что американцы на Луне были, с таким же заявлением,:
",0.0
2484,"Крупные производители уже давно напрочь охуели. Тот же мерседес собирает машинки которые через 2 недели рассыпаются к хуям. Даже AMG. АМГ блять который руками собирают и тот по надежности говно. И засудить их нереально за такое. Современная сборка уже давно не про качество, а про маркетинг.
",0.0
11632,"Раз в 4 года 29 срываются люди и пьют
",0.0
8362,"У него батя или брат - мент. Это объясняет ватность и совкодрочерство.
",1.0
6011,"Доставщики еды вообще в ужасе
",0.0
10936,"Видео уже старое, усидчивость её тогда только так контролили
",0.0
468,"Плюсик в свою карму заслужил. А там, наверху, все плюсы перед Богом зачтутся.
",1.0
2174,"Это кто там трындит? Пиздуй сосули сшибай.
",1.0
3436,"Удивительно живучий аппарат. Этотпервый телефон в руках дочки который прожил более 6 месяцев. А, нет, zte кнопочный она ваще не смогла сломать. Но в него, мне кажется, гвоздь можно вбить и при этом одна сим-карта все-же будет работать.
",0.0
2016,"Я тоже, каюсь, первую информацию о них у продавца узнал, покупать не планировал, приехал за баллоном СО2, а уехал в компании. Потом тоже прочитал, но поздно, уже поселил к рыбам, при чем в одном аквариуме мелким совсем. Тоже волнуюсь...
",0.0
12687,"Только гляньте на этого махрового шовиниста
",1.0
7947,"Думал и о Q4. Помню, Doom3 и Q4 на выходе очень впечатляли своим биомеханическим дизайном монстров, но в плане архитектуры, киберготика второго квейка была прекрасна. Скорее всего тоже будет солянка из визуальных образов
",0.0
6233,"У-ух, ненавижу, блядь, хохлов.
",1.0
300,"но ведь многие бросают свою половину из-за бездетности.А он нет-значит любил.Конечно-он при жизни мог завещание сделать.
",0.0
77,"Пошло всё нах! Кругом бардак и коррупция.
",0.0
3387,"В сральник деревенский надо окунать таких мелких ублюдков а не в чистый школьный туалет.
",1.0
6533,"Redmi Note 4 (4 64 snapdragon). За два года ничего не изменилось. Как хватало на 2-4 дня так и хватает
",0.0
2027,"Зачем хохол одел георгиевскую ленточку? На миротворец его.
",1.0
9563,"Что знают двое - знает и свинья. Причем свинья запросто может и накосячить, причем вас, как её за задницу возьмут, она просто без шансов сольет с потрохами, практически сняв с себя ответственность. Тупейшая идея. Только самому, если ты такой ама-мама-криминал, если ты готов присвоить деньги банка.
",1.0
9906,"Жаль, я уж надеялся, что хоть кто-то из небольших стран сможет отпор дать америке. Эти страны, ровно столько будут существовать в своём нынешнем виде, сколько они будут нужны США, России или Китаю.
",0.0
12015,"Зачем создавать тред про это чмо?
",1.0
1657,"Пользователь платит просто какую то сумму денег. Ему нужны не гигагерцы, а отзывчивый интерфейс и время жизни на батарейке. Какцена будет распределена между железом и софтом - это довольно пофигу.
",0.0
11265,"фубля эти современные тенденции. Мозг автоматом вставляет между на и лицо слово Мужское . Будь оно неладно. КОгда должна эта болезнь пройти?(
",1.0
6265,"Да я заебался уже все это ахуенные истории банить.
",1.0
9294,"Я честно не знаю как в таких случаях работает тех.под. но определенно могу сказать- таварищи выполняют план по подключениям, и у нас в филиале уже прям обязали тех абонентов, кто приходит с касперским записывать лс и ежедневно передовать информацию. Очень надеюсь что примут меры, все таки и прослушка работает, и отследить кто из операторов подключил и при каких обстоятельствах.. В любом случае в тех под. просто необходимо жаловаться и требовать перерасчет
",0.0
992,"Когда доктор стал женщиной, резко ухудшилось качество сериала. Звоночки как бы были еще когда у доктора спутница была черная лезбиянка. В 11 же сезоне прямо видно как они облизывают все эти меньшинства. Так и не досмотрел. Обидно, хороший сериал был.
",0.0
10628,"Смотрел эту серию недавно, если не ошибаюсь она в 3 сезоне была
",0.0
3314,"Я далеко не богат, зарабатываю среднюю зп по СПб. Обязанности и долги имею. Торговаться из-за 50-100 рублей это нормально? Объясните, это дань традициям? Уже не первый раз вижу такое, кто то ездит продаёт какую то бню в другой конец города за 300 рублей и торгуется из-за дватцатки, кто то таксисту ночью жопит полтинник. Ясно, что на детей надо дохера денег и возможно в переспективе ежедневная экономия на поездках сэкономит вам пару тысяч за год и позволит купить лишний памперс доче. Но я так понимаю, что случай был не рядовой и ситуация щекотливая. Я что то не понимаю в этом мире. В чем смысл блять торга из-за пачки макарон? Извиняюсь за бомбёжку.
",0.0
7838,"За это же время империя почему-то скатилась вообще в говно. Странно, да?
",0.0
9255,"Пынчую! Посоны у кого пососать есть? Мимо Пынявый Хуесос
",1.0
5606,"Честно, я не имею ничего против людей. которые выпивают в меру. Выпить на праздник или в выходные пропустить пару бутылочек или бокал вина - для меня это не алкоголизм. И консервативно писать о том. что Я ни капли 8 месяцев - это не показатель успеха. Организм нужно слушать и если есть небольшое желание пропустить что-то градусное, то это не критично.
",0.0
10359,"Здравствуйте. Я Вас рассужу. У меня диплом 1996 года ПГС. Специализация ТСП. У нас нормы были заточены под панельные дома и унификацию сетки колонн промзданий. Поэтому про вентзазоры никто не слыхивал. Я сам по иноземным книжкам изучал. Скрин вставлю. Вы не спорьте и не ругайтесь. Вентзазор нужен и пускай он будет.
",0.0
5082,"почему травить? Сразу вешать
",1.0
12477,"Как это без права продажи?
",0.0
9067,"А там выяснилось, что над подобными проблемами пытался работать не только он, правда, безуспешно. Ему ненавязчиво предложили соавторство в работах, но Пичужкин отказался. Теперь он никогда не станет доктором наук и поэтому бухает. Странно.То есть науку в 90-е гнобили,какбэ пытается сказать нам автор.Но потом наука оказывается немножко...не такой.Не такой уж и хорошей. Но самое главное,чего не могут обьяснить страдающие ностальгией-куда девалась эта чудная и прекрасная страна.В один миг куда -то провалилась.И нашествия вроде вражеского не было.Ни чумы,ни глада ни мора? Фьють и исчезла.
",0.0
10294,"Точно так же все происходило. Пост удивил, столько всяких премудростей. Все намного проще делается
",0.0
4556,"вначале делал срез столбов под угол 45, но теперь думаю что надо гораздо сильнее, заваливать внутрь, чтоб снять нагрузку от ветра
",0.0
4276,"Для руСких это нормально, но думаю русские не оценили бы
",1.0
7015,"Выбора изначально нет и не было, фактически эти провайдеры отличаются только названиями. Цены и скорости одинаковые, да и стабильность работы низкая.
",0.0
6517,"Да и то не факт что успеешь все рассмотреть за этот короткий промежуток времени.
",0.0
8223,"Потому что индустрия игр - не благотворительность, нет? Они получили возможность заработать больше денег, при том даже сделав части покупателей скидку. Почему не всем? Потому что заработать больше денег - тоже важно. Мы же не задаемся вопросом почему эпики могут брать такую комиссию, а стим дерет 30 ? . Понятно почему, потому что хочет больше зарабатывать, и будет делать это пока может. И да, если разраб получает больше денег - это хорошо для пользователя. Хорошие студии банкротятся, вводят лутбоксы, рвут игры на длц, выпускают игры для мобилок вместо нормальных платформ именно потому что от них инвесторы требуют большего дохода. Игры стоят 60 баксов, как и 10 лет назад, а разработка игр стала значительно дороже и масштабней. От того, сколько принесет игра, зависит то как много времени будет на разработку следующей и на что будут вынужденны идти разработчики. Странно этого не понимать. Снова же, приводя в пример консоли: эксклюзивы имеют существенно более выгодные условия и активно поддерживаются платформой. И что мы имеем в итоге? ПК ноет про то что сингл игры вымерли, одни батлрояли и прочие сессионки, и т.д. На консолях тем временем за год Детройт, Хорайзон, Спайдер Мэн, Год оф Вар, РДР... Так что рассказывать о том что более выгодные условия для разработчика это плохо, и то что платформа спонсирует его это плохо просто глупо
",0.0
7898,"Где то читала, что лекарства отбирают у въезжающих (а аптека там так же пусты)
",0.0
2747,"Осветим червем Обломовым
",1.0
4998,"Просил почесать пузико
",1.0
1470,Да он видать за деньги :) Дорого оказалось и денех жалко :),0.0
6849,"Тем не менее друзья, надо сказать что второго такого как Фредди до сих пор нет. Нет не по внешности, нет той энергии, магнетизма, магии. я первый раз увидел Фредди по телику где то в 1986 году, тогда он мне показался очень мужественным, героическим. А когда я уже в 90х узнал что он был разноплановым, я конечно был в шоке. Интересно, не в обиду будет сказано, но три члена группы Queen были традиционными и женатыми, и это не помогло Фредди выбрать этот маршрут.
",0.0
8881,"и причем здесь чувство юмора? сам придумал - сам опроверг? я писал что они считают себя веселой нацией
",1.0
652,"Лол, совковая пидораха полыхает, но аргументов кроме ДА ВЫ ЖЫ НИЧИГО НИ ПАНИМАИТИ не принес. Рашка сейчас - это совок, который воюет с другими странами (привет, Афганистан), экономика катится в жопу (привет, дефицит), запрещает иностранные товары (привет, совковые пидорахи, готовые дать в жопу за джинсы), и все это на фоне политического болота (привет, Леонид Ильич)
",1.0
10291,"Бляяя. У меня такая же фигня. Все слышно, что у соседей сверху, будто дома у меня...
",0.0
3175,"В частном секторе до сих пор так часто бывает, но зависит от угля)
",0.0
12308,"В том и дело, что она все подписывала сама электронной подписью через ГосУслуги
",0.0
1320,"А вот говорить что сниматься в порно хорошо, нормально, а распространять это порно среди родных и близких актрис - плохо. Серьезно, если в порно-шлюхах и их занятии нет ничего плохого, то что плохого случится если я отправлю ее творчество ее родителям? У них есть сексуальная жизньв отличие от меня, они это не осудят, а будут гордиться дочерью. Кек, семейка потомственных блядей и куколдов.
",0.0
7261,"Мне кажется все в наших головах. Нам внушили - что открывать бизнес честно не получится. Или нужно прятать доход и платить налогов меньше, или отожмут бизнес власть имущие. Вот честно, в моем понимание дело открыть и развивать легче там, где нету тотального налогового гнета и контроля от коррумпированной власти. Уйти в глубь Сибири, и наплевав на законы и власть построить будущее легче ДЛЯ ДУШИ будет, чем в городе. Там где над душой нету надсмотрщика - развиваться легче, в той же Сирии мне почему-то кажется, открыть дело будет надежнее и проще.
",0.0
4745,"Пост-эталон малолетнего долбаёба.
",1.0
776,"Дайте цуиь, где марголиус резал по пьяне жалюзи
",1.0
5188,"На Оскар Мерзкие шовинистические свиньи!!11рас-рас. На темнокожую Оскарку.
",1.0
6135,"Так нужно было призвать модератора с указанием ссылки на оскорбление. Теги не совсем в порядке, рекомендую поставить тег кот.
",0.0
5697,"Я про это ничего и не говорила) речь об обязательном обеспечении жильем
",0.0
10536,"Горькая правда лучше сладкой лжи.
",1.0
11037,Попробуй с коллективом выпить-закусить.,0.0
12067,"Ты моральный урод. Теперь жалуйся модератору
",1.0
6802,"10 миллионов, ну да, не дороже. Почти что столько же.
",0.0
10940,"Пиздуй умирать за быдло с Донбасса, Ну не за львовских сифилитиков же. выблядок деревенский Ваша страна деревня. Даже ЕКБ после киива не кажется деревней.
",1.0
3180,"Как интересно хуемрази описали ситуацию, а то что хуемразь разбила автомобиль, уголовное дело возбудят?
",0.0
4628,"Сколько летаю - постоянно вижу подобные ситуации. Запомните раз и навсегда: Вы должны быть у гейта ко времени, указанному в посадочном талоне. И наплевать на то что рейс откладывается, переносится и или вообще отменяется! Стойте у гейта и ни шагу назад! Представьте что Вы - царь Леонид и за Вами Спарта! Стойте и ждите!!! Леонид не ждал персов в соседнем ущелье, потому что в главном было неудобно... Он стоял до конца! Это Россия... Тут может случится что угодно! Измениться гейт, не сработать система оповещения, или (как например во Внуково) она может просто не воспринятся ... Сколько раз за собой замечал, что просто не слышу тот бубнеж, который объявляют по громкой связи. Х.з. с чем это связано, но он просто идёт фоном и не воспринимается... И не пытайтесь разжалобить или запугать сотрудников авиакомпании - за 20 минут до посадки они не пустят НИКОГО, уж поверьте. Если сказали что не пускают - смиритесь и срочно (до взлёта самолёта) переоформляйте билет. Искренне сочувствую...
",1.0
8274,"Комплект из двух (2 и 6 зубьев) от 2600 р. Зубья сменные, на резьбе, там же можно взять про запас. У китайских сталь как правило оставляет желать лучшего - быстро тупятся, разбалтываются в местах креплений от этого строчка гуляет. Зубья часто не сменные а запрессованы, в итоге приходится их выкидывать при тех проблемах о которых писал выше. Рукоятки можно купить китайские а зубья у росс.производителей, резьба подходит, так будет дешевле но опять же металл ручек может оказаться не очень. Я брал комплект на 2, 4 и 6 зубьев, шаг 5 мм. у Братского подгона когда они ещё делали свои пробойники, сейчас не делают, нерентабельно говорят, затраты на весь цикл производства высоки слишком. Но зубья у них вроде ещё есть.
",0.0
5034,"Я стык между ламинатом и плиткой пробкой заделываю, которая в тубах продаётся. После застывания подрезаю , шлифую и лаком покрываю. Придумал не сам- видел как паркетчики так работают.
",0.0
12162,"А у нас тюльпаны тоже скоро вырастут. Уже проклюнулись!
",0.0
6455,"История повторяется. Пагубное влияние развития ростовщичества и кулачества в сельском быту (Ермолов А.С. Неурожай и народное бедствие. СПб., 1892. С.179 190)
",0.0
1588,"Оригинально.Осталось инженеру по ТБ спеть : мокрые кроссы или нарушение ТБ при использовании СИЗ:-)
",0.0
9803,"Элджей новый костюм прикупил? : )
",1.0
7471,"у бабке на столе винтовочные патроны. трудно ей будет с пистолетом-то.
",1.0
475,"Я тоже мел ем, вкусный, как правило, круглый почему то.
",0.0
1646,"разные рыси есть. Бывает очень ласковая
",0.0
4343,"Спасибо) вначале надо отредактировать, а уж потом все остальное
",0.0
1201,"Тема мазафакерства не раскрыта.
",0.0
9177,"Соколовский У этого татарчонка комплексы? Стыдится своей фамилии Сайбабталов?
",1.0
8686,"Либеральный прыщ Вованус Крохотусик уже высказался на це счет?
",1.0
12476,"Кроме того, в государстве, где не было полиэтиленовых пакетов, это изобретение было обречено на успех. Опять это передергивание. До середины 70-х годов почти нигде в мире не было полиэтиленовых пакетов, в том числе в США: они только появились в конце 60-х, если мне память не изменяет, в Дании. В США - в конце 70-х. Многие вспоминают выставки достижений заграничного хозяйства в 80-х, когда американцы и всякие немцы показывали удивлённым советским гражданам пакеты - так вот, они их потому и привозили, что это был продукт передовых технологий. СССР в вопросах пакетов отставал от Запада лет на 10-15.
",0.0
10126,"Бред, в том что берется не разъем, который стоит около ста рублей, в который не разу не герметичненько вбиваются провода, а пара пассивных инжекторов за двести, хвостик которого у Вас и подгнил, и один из них запаивается в корпусе камеры, а то что Вы сделали типичный тяп-ляп, про три рубля-обычный фразелогизм
",0.0
5416,"похоже проблема массовая на ПР с отслеживанием посылок
",0.0
11802,"В смысле мерзость? Что за угнетение? Мы не пидорессы, а женщины с иной ориентацией!
",1.0
5714,"Или у вас савдеповский таз, или я хз, но инструкции к авто я в глаза не видел в новых машинах.
",1.0
6948,"что бы принести прогресс, иногда надо сперва разрушить Ампутация это часть работы врача
",0.0
2587,"ну так чё там, можно лежать между рельсами-то безопасно?? лето близко, ожидайте охуительный аттракцион!
",0.0
1039,"Стоп, разве? Сейчас погуглить не могу, но там же в детстве, в 14, а потом каждые 10 лет, вроде
",0.0
9698,"Слушай, вот серьезно, обратись к врачу. Да-да, они все жиды, и психиатрия - это вообще псевдонаучные штучки пейсатых, но ты все же обратись.
",1.0
10166,"вот они секреты российской медицины. и этому они 6 лет учатся)
",0.0
12671,"и правда, по обряду женщину полагается сжигать живьем вместе с умершим мужем, а не кусать.
",1.0
988,"пидорашка это не фамилия, а состояние души, распространено только в россиюшке
",1.0
1249,"Во всех вузах, где сложно учиться, студенты время от времени выпиливаются.
",0.0
2322,"руссошвайне искренне верит в мечтающих прихода хрюске мира русских людей истребляется самими этническими русскими и русскоязычными на республиках экс-совка продолжает искренне верить в мечтающих прихода хрюске мира русских людей
",1.0
7717,"Как теперь это развидеть ?
",0.0
7610,"Пикабу, пикабу... Ни одной гифки с Ромеро...",0.0
2911,"Просто запах мокрого трамвая не более
",0.0
10355,"СЛЫШ ты лох ахуел совсем такое писать мразь?
",1.0
2788,"украинцам не нравится, когда их называют пидорашками. поэтому украинцы обзываются, как дети малые, мол сам такой, сам такой! пидорашки же)
",1.0
1985,"Так ты гомосексуалист?
",1.0
9141,"Вау, да сегодня годовщина же! Самобился таки, так еще так хитро, со связанными за спиной руками.
",1.0
9688,"Он про марихуану и вообще дуй отсюда, пока твой батя новый аккаунт не спалил.
",1.0
4506,"похоже на стиль старой бондианы. круто!
",1.0
7203,"Насчитала меньшую сумму ? Т.е. вы поругали ее потому что посчитала меньшую сумму для оплаты?
",0.0
3392,"Крч было дело - выйгрыла контора подряд на ремонт школы. Дабы обойти по-честному конкурентов, снизили расценки, не включив фонд оплаты труда работяг. Когда работяги не получили деньги, ремонт встал. Начались занятия (в здании с начатым ремонтом). Приезжало большое начальство, орало про договора-сроки-обязательства, потом приезжало очень большое начальство, громче орало про ответственность перед детьми и будущими поколениями, но работяги упёрлись: утром деньги, вечером стулья. После нового года, видимо, с новых тендеров, наконец дали бабос, и ремонт пошёл по схеме в этом кабинете дети занимаются, в соседнем долбим .
",0.0
1345,"Да даже если бы и халявное, холодильники 50-70х годов не славятся тихой работой.
",0.0
639,"Ой герой нашелся! Да ты бы сам на все замки закрылся. У этого уебана и нож мог быть, полез бы ты в драку? Получил бы пару шрамов на лице. Кукарекнуть в интернате просто, а в жизни всё происходит очень быстро и с последствиями.
",1.0
2191,"против сочинской Олимпиады Сука, ебаный шизик. Надо было не арестовывать, а просто в дурку закрыть.
",1.0
5783,"Твоя мама знает за кого ты топишь?
",1.0
2425,"После того, как только что поменял масло...
",0.0
4053,"Посоветую одно - не называть это отродье бабусей. Обидно за всех бабусь (своих и дворовых ), которые подкармливали нас всех конфетами и прочими вкусностями в детстве.
",1.0
2520,"Из обсуждения в интернете чей Крым, ничего не решится, просто очередной диванный срач, зачем это? Тут я захожу про бабулек мошеников в банке в сговоре с сотовыми операторами читать, а вы блять со своей политикой, мне пох чей Крым! Это только Крымчан волнует, мне от того что Крым Украинский или России не жарко и не холодно.
",0.0
7239,"Вы цены в Большой видели? Да я даже в Ростовский музыкальный с билетами за 1000-1500 не каждый месяц могу себе позволить сходить.
",0.0
1055,"Да не, там просто занято тобой уже",0.0
10315,"Не понял с ценой, но тратить время на техподдержку из-за 200-300р., вообще никакого желания.
",0.0
1005,"Что ты чмоха, который хомяк. МД которому нужны пруфы, тебе их дали, но ты стал маняврировать ой да чмоэстро подал аппеляцию, так что пока не проиграл , а до этого были, что он не проиграл и проиграть не может. Пиздец ты жалкий, хуже пидорахи-чиновника.
",1.0
3499,"Да да, а если 7млрд умножить на 2 в 80 степени(количество итераций до р.х.), людей будет меньше чем 1 триллион.
",0.0
3689,"Да, но однажды. Я к тому, что после эпохи обычного природного газа не наступит эпоха сланцевого, это будет очень короткий период угасания газового топлива. Вероятно, с переходом на уголь и т.п.
",0.0
3551,"150 см в длину и 35 в ширину на гарде примерно.
",0.0
2607,"А скиньте аватарку дедушки со стрима, где он в парике и накрашенный
",1.0
6766,"Весь научпоп от блогеров параша
",1.0
4371,"Жесткая упаковка дает повышающий коэффициент (1.8 если не ошибаюсь), без вашего ведома ее не должны были применять, конечно же. При оформлении груза вам должны были предложить это как доп. Услугу и это отражено в квиточке, который вам выдали на руки (отметка что- то типа ЖУ). Отдельные категории груза подлежат обязательной жесткой упаковке, но об этом тоже должны были предупредить при оформлении. Можно подать претензию в ПЭК, они рассмотрят, но если вы расписались на квитанции, где указано, что применена ЖУ, думаю, это бесполезно. Вы сами сдавали груз на терминале Пэка или они к вам по адресу на газели приезжали? Если сами сдавали, то и стоимость озвучивают сразу, значит и разбираться по счету на месте надо.
",0.0
11176,"Но они получат на рубль больше, чем если бы ты продали три буханки по трем чекам. Основная фишка не в трех буханках, а в том что покупатель берет обычно не один товар, а набирает в корзину кучу всякой мелочи, где легко и на десять рублей наберется. Я когда кассовое ПО поддерживал вообще охреневал как с таких мелочей в средненькой сети торгующей хозтоварами в месяц легко набирается на пару лямов.
",0.0
5245,"парковочные места кафе действительно их парковочные места? или это хотелки?
",0.0
5910,"Трудоустраивало. Лучших русских студентов отправляли лизать очко трюкачам и ебалтам. Самых парашных их студентов отправляли работать с русскими. 100 смертность у трюкачей-хирургов в РСФСР например. Такая-то 100 занятость. И они ещё китчатся потомственными родами. Первая операция в мире проведена в СССР отрядом 731 . Иногда распределяли просто красивых русских баб, при этом по дебилизатору постоянно шла реклама того, какие трюкачи горячие, богатые и отходчивые. Сколько дурочек в землю легло сразу, а сколько ещё пожило рабынями в трюкачёвских хозяйствах и сдохло от тёщиных пиздюлей. Почему рабыня изаура была популярнейшим сериалом, много популярнее сантыбарбары? Такие-то великие социальные завоевания.
",1.0
1891,"история подводной лодки курск фильм получился очень хорошим. без пропагандонщины. правдивый. всё как по официальным отчётам было. только вот смешно когда нужно показать эностранцу город и жизнь в россии, ему нужно в искать самые зашкваренные раёны у себя. напомню, в курске ёбнула торпеда. а именно её топливо. топливо которое уже доставляло белым людям хлопот и были катастровы на лодке из за него. потому от него отказались. но у рашки не было денег от него отказыватся, и необучаемость погубила подлодку и людей. это топливо с прикосновением метала очень взрывоопасно становится, вот и случилось. так же экипаж не могли достать из за того что не было рабочих средств спасения. европейцы предлагали свою помощь и даже прислали уже на место крушения свои спасательные подлодки. но их помощь не приняли. мол сами справимся. что мы сверх подержава или нет?! оказалось нет. ещё расследование показало что экипаж случайно устроил у себя там в безопасном отсеке мини-взрыв, потеряв таким образом последний воздух.
",0.0
1141,"Ну старше становятся, особенно после 18 и дети прям сами лезут в производителей.... Особенно мальчики... Прям в отдел выдачи у производителя лезут....
",0.0
12462,"Японцы еще больше майонеза добавляют везде чем у нас
",0.0
5940,"мухаха спалился , сам себе донатит",1.0
2261,"Европы и США Это ещё ладно, но ещё больше трудятся во всяких чуркистанах.
",1.0
9652,"в билайне была такая же ситуация лет 7 назад, после этого перестали им пользоваться
",0.0
6661,"Потом уже я покатился по наклонной , были Nokia N800 и корпоративный Siemens Pocket Loox.
",0.0
9537,"Бля, то, что раньше было обычным делом, сейчас считается отличной работой.
",0.0
8211,"Вообще не пошлый, очень добрый и смешной семейный фильм, а в конце даже всплакнул. Трейлер хуже фильма и название фильму не совсем соответствует как по мне (тут думаю дело в локализации)
",0.0
9147,"так может дело в том что перевозки имеют дотации в любом государстве ?)
",0.0
1414,"250 вроде нормальная по жёсткости вода, если водопроводная, то максимум, что нужно - механический 1-5мкм уголь
",0.0
3375,"С точки зрения арифметики не опровергнуть, однако с точки зрения математики это выражение не имеет смысла и лежит в поле вещественных чисел и не может рассматриваться как задача.
",0.0
4296,"Потому что народ сознательно продал идеи равенства за сто сортов колбасы из бумаги . Хотели капитализма - получите. А вы думали как-то иначе будет?
",0.0
11502,"Обнимая небо - авторы постарались над сценарием
",0.0
12321,"Там еще и доллар меньше 30...
",0.0
10671,"хоть каждый час. если есть время и возможности..
",0.0
8055,"Отзывы читать в инете, много и внимательно. И не вызывать тех, на кого нет отзывов, или хоть в одном отзыве описана подобная схема. Других вариантов нет. Ну и самим не стесняться отзывы оставлять, везде, где найдете возможность.
",0.0
